"design","score","rank","average-cohession","average-coupling"
"JSON2CSVAsyncParser.constructor$JSON2CSVBase.constructor$JSON2CSVBase.preprocessOpts$JSON2CSVBase.getHeader$JSON2CSVBase.processRow$utils.fastJoin$JSON2CSVParser.processData$JSON2CSVParser.parse$JSON2CSVParser.preprocessData$JSON2CSVBase.preprocessFieldsInfo$JSON2CSVTransform.pushHeader$JSON2CSVBase.preprocessRow$JSON2CSVTransform.pushLine$JSON2CSVTransform._transform$JSON2CSVTransform.write$JSON2CSVParser.constructor$JSON2CSVTransform.constructor$JSON2CSVTransform.initJSONParser JSON2CSVBase.processCell$JSON2CSVBase.processValue$JSON2CSVBase.value JSON2CSVTransform._flush$JSON2CSVTransform.getPendingData JSON2CSVTransform.initNDJSONParse JSON2CSVTransform.initObjectModeParse flatten.step unwind.getUnwindablePaths unwind.unwind unwind.unwindReducer utils.flattenReducer utils.setProp utils.unsetProp",0.7142265795206972,9,0.9275599128540305,-0.21333333333333332
"JSON2CSVAsyncParser.constructor$JSON2CSVBase.constructor$JSON2CSVBase.preprocessOpts$JSON2CSVBase.getHeader$JSON2CSVBase.processRow$utils.fastJoin$JSON2CSVParser.processData$JSON2CSVParser.parse$JSON2CSVParser.preprocessData$JSON2CSVBase.preprocessFieldsInfo$JSON2CSVTransform.pushHeader$JSON2CSVBase.preprocessRow$JSON2CSVTransform.pushLine$JSON2CSVTransform._transform$JSON2CSVTransform.write$JSON2CSVParser.constructor$JSON2CSVTransform.constructor$JSON2CSVTransform.initJSONParser$JSON2CSVTransform.initNDJSONParse JSON2CSVBase.processCell$JSON2CSVBase.processValue$JSON2CSVBase.value JSON2CSVTransform._flush$JSON2CSVTransform.getPendingData JSON2CSVTransform.initObjectModeParse flatten.step unwind.getUnwindablePaths unwind.unwind unwind.unwindReducer utils.flattenReducer utils.setProp utils.unsetProp",0.8038915470494418,7,0.9202551834130781,-0.11636363636363636
"JSON2CSVAsyncParser.constructor$JSON2CSVBase.constructor$JSON2CSVBase.preprocessOpts$JSON2CSVBase.getHeader$JSON2CSVBase.processRow$utils.fastJoin$JSON2CSVParser.processData$JSON2CSVParser.parse$JSON2CSVParser.preprocessData$JSON2CSVBase.preprocessFieldsInfo$JSON2CSVTransform.pushHeader$JSON2CSVBase.preprocessRow$JSON2CSVTransform.pushLine$JSON2CSVTransform._transform$JSON2CSVTransform.write$JSON2CSVParser.constructor$JSON2CSVTransform.constructor$JSON2CSVTransform.initJSONParser$JSON2CSVTransform.initNDJSONParse$JSON2CSVTransform.initObjectModeParse JSON2CSVBase.processCell$JSON2CSVBase.processValue$JSON2CSVBase.value JSON2CSVTransform._flush$JSON2CSVTransform.getPendingData flatten.step unwind.getUnwindablePaths unwind.unwind unwind.unwindReducer utils.flattenReducer utils.setProp utils.unsetProp",0.9115789473684209,1,0.9115789473684209,0
"JSON2CSVAsyncParser.constructor$JSON2CSVBase.constructor$JSON2CSVBase.preprocessOpts$JSON2CSVBase.getHeader$JSON2CSVBase.processRow$utils.fastJoin$JSON2CSVParser.processData$JSON2CSVParser.parse$JSON2CSVParser.preprocessData$JSON2CSVBase.preprocessFieldsInfo$JSON2CSVTransform.pushHeader$JSON2CSVBase.preprocessRow$JSON2CSVTransform.pushLine$JSON2CSVTransform._transform$JSON2CSVTransform.write$JSON2CSVParser.constructor$JSON2CSVTransform.constructor$JSON2CSVTransform.initJSONParser$JSON2CSVTransform.initNDJSONParse$JSON2CSVTransform.initObjectModeParse$JSON2CSVBase.processCell$JSON2CSVBase.processValue$JSON2CSVBase.value JSON2CSVTransform._flush$JSON2CSVTransform.getPendingData flatten.step unwind.getUnwindablePaths unwind.unwind unwind.unwindReducer utils.flattenReducer utils.setProp utils.unsetProp",0.8998682476943346,2,0.8998682476943346,0
"JSON2CSVAsyncParser.constructor$JSON2CSVBase.constructor$JSON2CSVBase.preprocessOpts$JSON2CSVBase.getHeader$JSON2CSVBase.processRow$utils.fastJoin$JSON2CSVParser.processData$JSON2CSVParser.parse$JSON2CSVParser.preprocessData$JSON2CSVBase.preprocessFieldsInfo$JSON2CSVTransform.pushHeader$JSON2CSVBase.preprocessRow$JSON2CSVTransform.pushLine$JSON2CSVTransform._transform$JSON2CSVTransform.write$JSON2CSVParser.constructor$JSON2CSVTransform.constructor$JSON2CSVTransform.initJSONParser$JSON2CSVTransform.initNDJSONParse$JSON2CSVTransform.initObjectModeParse$JSON2CSVBase.processCell$JSON2CSVBase.processValue$JSON2CSVBase.value$JSON2CSVTransform._flush$JSON2CSVTransform.getPendingData flatten.step unwind.getUnwindablePaths unwind.unwind unwind.unwindReducer utils.flattenReducer utils.setProp utils.unsetProp",0.8858333333333334,3,0.8858333333333334,0
"JSON2CSVAsyncParser.constructor$JSON2CSVBase.constructor$JSON2CSVBase.preprocessOpts$JSON2CSVBase.getHeader$JSON2CSVBase.processRow$utils.fastJoin$JSON2CSVParser.processData$JSON2CSVParser.parse$JSON2CSVParser.preprocessData$JSON2CSVBase.preprocessFieldsInfo$JSON2CSVTransform.pushHeader$JSON2CSVBase.preprocessRow$JSON2CSVTransform.pushLine$JSON2CSVTransform._transform$JSON2CSVTransform.write$JSON2CSVParser.constructor$JSON2CSVTransform.constructor$JSON2CSVTransform.initJSONParser$JSON2CSVTransform.initNDJSONParse$JSON2CSVTransform.initObjectModeParse$JSON2CSVBase.processCell$JSON2CSVBase.processValue$JSON2CSVBase.value$JSON2CSVTransform._flush$JSON2CSVTransform.getPendingData$flatten.step unwind.getUnwindablePaths unwind.unwind unwind.unwindReducer utils.flattenReducer utils.setProp utils.unsetProp",0.8685714285714285,4,0.8685714285714285,0
"JSON2CSVAsyncParser.constructor$JSON2CSVBase.constructor$JSON2CSVBase.preprocessOpts$JSON2CSVBase.getHeader$JSON2CSVBase.processRow$utils.fastJoin$JSON2CSVParser.processData$JSON2CSVParser.parse$JSON2CSVParser.preprocessData$JSON2CSVBase.preprocessFieldsInfo$JSON2CSVTransform.pushHeader$JSON2CSVBase.preprocessRow$JSON2CSVTransform.pushLine$JSON2CSVTransform._transform$JSON2CSVTransform.write$JSON2CSVParser.constructor$JSON2CSVTransform.constructor$JSON2CSVTransform.initJSONParser$JSON2CSVTransform.initNDJSONParse$JSON2CSVTransform.initObjectModeParse$JSON2CSVBase.processCell$JSON2CSVBase.processValue$JSON2CSVBase.value$JSON2CSVTransform._flush$JSON2CSVTransform.getPendingData$flatten.step$unwind.getUnwindablePaths unwind.unwind unwind.unwindReducer utils.flattenReducer utils.setProp utils.unsetProp",0.8456790123456791,5,0.8456790123456791,0
"JSON2CSVAsyncParser.constructor$JSON2CSVBase.constructor$JSON2CSVBase.preprocessOpts$JSON2CSVBase.getHeader$JSON2CSVBase.processRow$utils.fastJoin$JSON2CSVParser.processData$JSON2CSVParser.parse$JSON2CSVParser.preprocessData$JSON2CSVBase.preprocessFieldsInfo$JSON2CSVTransform.pushHeader$JSON2CSVBase.preprocessRow$JSON2CSVTransform.pushLine$JSON2CSVTransform._transform$JSON2CSVTransform.write$JSON2CSVParser.constructor$JSON2CSVTransform.constructor$JSON2CSVTransform.initJSONParser$JSON2CSVTransform.initNDJSONParse$JSON2CSVTransform.initObjectModeParse$JSON2CSVBase.processCell$JSON2CSVBase.processValue$JSON2CSVBase.value$JSON2CSVTransform._flush$JSON2CSVTransform.getPendingData$flatten.step$unwind.getUnwindablePaths$unwind.unwind unwind.unwindReducer utils.flattenReducer utils.setProp utils.unsetProp",0.8137566137566138,6,0.8137566137566138,0
"JSON2CSVAsyncParser.constructor$JSON2CSVBase.constructor$JSON2CSVBase.preprocessOpts$JSON2CSVBase.getHeader$JSON2CSVBase.processRow$utils.fastJoin$JSON2CSVParser.processData$JSON2CSVParser.parse$JSON2CSVParser.preprocessData$JSON2CSVBase.preprocessFieldsInfo$JSON2CSVTransform.pushHeader$JSON2CSVBase.preprocessRow$JSON2CSVTransform.pushLine$JSON2CSVTransform._transform$JSON2CSVTransform.write$JSON2CSVParser.constructor$JSON2CSVTransform.constructor$JSON2CSVTransform.initJSONParser$JSON2CSVTransform.initNDJSONParse$JSON2CSVTransform.initObjectModeParse$JSON2CSVBase.processCell$JSON2CSVBase.processValue$JSON2CSVBase.value$JSON2CSVTransform._flush$JSON2CSVTransform.getPendingData$flatten.step$unwind.getUnwindablePaths$unwind.unwind$unwind.unwindReducer utils.flattenReducer utils.setProp utils.unsetProp",0.7660098522167488,8,0.7660098522167488,0
"JSON2CSVAsyncParser.constructor$JSON2CSVBase.constructor$JSON2CSVBase.preprocessOpts$JSON2CSVBase.getHeader$JSON2CSVBase.processRow$utils.fastJoin$JSON2CSVParser.processData$JSON2CSVParser.parse$JSON2CSVParser.preprocessData$JSON2CSVBase.preprocessFieldsInfo$JSON2CSVTransform.pushHeader$JSON2CSVBase.preprocessRow$JSON2CSVTransform.pushLine$JSON2CSVTransform._transform$JSON2CSVTransform.write$JSON2CSVParser.constructor$JSON2CSVTransform.constructor$JSON2CSVTransform.initJSONParser$JSON2CSVTransform.initNDJSONParse$JSON2CSVTransform.initObjectModeParse$JSON2CSVBase.processCell$JSON2CSVBase.processValue$JSON2CSVBase.value$JSON2CSVTransform._flush$JSON2CSVTransform.getPendingData$flatten.step$unwind.getUnwindablePaths$unwind.unwind$unwind.unwindReducer$utils.flattenReducer utils.setProp utils.unsetProp",0.6865900383141762,10,0.6865900383141762,0
